slug,name,category,website,email,email_found,contacted,contact_date,replied
gtec-medical,g.tec medical engineering,Research Tools,https://www.gtec.at,office@gtec.at,yes,yes,2026-06-16,
harmony-biosciences,Harmony Biosciences,Neuropharmaceuticals,https://www.harmonybiosciences.com,communications@harmonybiosciences.com,yes,yes,2026-06-16,
havn-life-sciences,Havn Life Sciences,Psychedelics,https://havnlife.com,,no,no,,
headspace-health,Headspace Health,Mental Health Tech,https://headspace.com,,no,no,,
hid-therapeutics,Hi-D Therapeutics,Neuropharmaceuticals,https://www.hid-therapeutics.com,,no,no,,
idun-technologies,IDUN Technologies,Brain-Computer Interfaces,https://iduntechnologies.com,,no,no,,
ieso-digital-health,Ieso Digital Health,Mental Health Tech,https://iesohealth.com,noreply@iesohealth.com,yes,yes,2026-06-16,
innerwell,Innerwell,Mental Health Tech,https://innerwell.co,,no,no,,
intan-technologies,Intan Technologies,Research Tools,https://intantech.com,,no,no,,
interaxon,InteraXon (Muse),Neurofeedback,https://choosemuse.com,press@choosemuse.com,yes,yes,2026-06-16,
intra-cellular-therapies,Intra-Cellular Therapies,Neuropharmaceuticals,https://www.intracellulartherapies.com,,no,no,,
bioventus-neurology,Bioventus Neurology,Neuromodulation,https://www.bioventus.com,,no,no,,
journey-clinical,Journey Clinical,Psychedelics,https://journeyclinical.com,,no,no,,
karuna-therapeutics,Karuna Therapeutics,Neuropharmaceuticals,https://www.karunatx.com,,no,no,,
kernel,Kernel,Research Tools,https://kernel.com,,no,no,,
koa-health,Koa Health,Mental Health Tech,https://koahealth.com,,no,no,,
limbic,Limbic,Mental Health Tech,https://limbic.ai,,no,no,,
livanova,LivaNova,Neuromodulation,https://livanova.com,,no,no,,
lumos-labs,Lumos Labs,Cognitive Health,https://lumosity.com,,no,no,,
lykos-therapeutics,Lykos Therapeutics,Psychedelics,https://lykostherapeutics.com,,no,no,,
lyra-health,Lyra Health,Mental Health Tech,https://www.lyrahealth.com,,no,no,,
magnus-medical,Magnus Medical,Brain-Computer Interfaces,https://magnusmedical.com,support@magnusmedical.com,yes,yes,2026-06-16,
magstim,Magstim,Neuromodulation,https://www.magstim.com,marketing@magstim.com,yes,yes,2026-06-16,
maps,MAPS (Multidisciplinary Association for Psychedelic Studies),Psychedelics,https://www.maps.org,,no,no,,
mbraintrain,mBrainTrain,Research Tools,https://mbraintrain.com,,no,no,,
medtronic-neuro,Medtronic Neuromodulation,Neuromodulation,https://medtronic.com/neuromodulation,dlaemsupporthelp@medtronic.onmicrosoft.com,yes,yes,2026-06-16,
mentalab,Mentalab,Research Tools,https://mentalab.com,contact@mentalab.com,yes,yes,2026-06-16,
meru-health,Meru Health,Mental Health Tech,https://meruhealth.com,,no,no,,
microdose-tech,Microdose Psychedelic Insights,Psychedelics,https://microdose.buzz,,no,no,,
mind-alive,Mind Alive,Neurofeedback,https://www.mindalive.com,info@mindalive.com,yes,yes,2026-06-16,
mind-medicine-australia,Mind Medicine Australia,Psychedelics,https://mindmedicineaustralia.org,,no,no,,
mindaffect,MindAffect,Brain-Computer Interfaces,https://mindaffect.nl,info@mindaffect.nl,yes,yes,2026-06-16,
mindbloom,Mindbloom,Mental Health Tech,https://mindbloom.com,support@mindbloom.com,yes,yes,2026-06-16,
mindleap-health,Mindleap Health,Mental Health Tech,https://mindleap.com,,no,no,,
mindmed,MindMed,Psychedelics,https://mindmed.co,,no,no,,
mindseatech,MindSeaTech,Research Tools,https://mindseatech.com,,no,no,,
mindstrong,Mindstrong,Mental Health Tech,https://mindstrong.com,,no,no,,
mydecine-innovations,Mydecine Innovations,Mental Health Tech,https://mydecine.com,info@mydecine.com,yes,no,,
myneurva,myNEURVA,Neurofeedback,https://myneurva.com,,no,no,,
endonovo-therapeutics,Endonovo Therapeutics,Neuromodulation,https://www.endonovotherapeutics.com,,no,no,,
nalu-medical,Nalu Medical,Neuromodulation,https://www.nalumedical.com,,no,no,,
natus-medical,Natus Medical,Neurodiagnostics,https://www.natus.com,,no,no,,
neeuro,Neeuro,Brain-Computer Interfaces,https://neeuro.com,contact@neeuro.com,yes,no,,
neuromod-devices,Neuromod Devices,Neuromodulation,https://www.neuromoddevices.com,,no,no,,
neumora-therapeutics,Neumora Therapeutics,Neuropharmaceuticals,https://www.neumoratherapeutics.com,,no,no,,
neurable,Neurable,Brain-Computer Interfaces,https://neurable.com,hello@neurable.com,yes,no,,
neuracle-neuroscience,BICO (formerly Cellink) / Neuracle Neuroscience,Neurodiagnostics,https://neuracletech.com,,no,no,,
neural-analytics,Neural Analytics,Neurodiagnostics,https://neuralanalytics.com,,no,no,,
braingate-consortium,BrainGate Consortium,Brain-Computer Interfaces,https://braingate.org,research@braingate.org,yes,no,,
neuralace-medical,Neuralace Medical,Brain-Computer Interfaces,https://neuralacemedical.com,,no,no,,
neuracle-neuroscience,Neuracle Neuroscience,Neurodiagnostics,https://neuracle.cn,,no,no,,
neuralign,Neuralign,Neurodiagnostics,https://neuralign.com,,no,no,,
neuralink,Neuralink,Brain-Computer Interfaces,https://neuralink.com,,no,no,,
synchron-australia,Synchron Australia,Brain-Computer Interfaces,https://synchron.com,info@synchron.com,yes,no,,
neuraltus-pharmaceuticals,Neuraltus Pharmaceuticals,Neuropharmaceuticals,https://www.neuraltus.com,,no,no,,
neuravi,NeuraVi,Neuromodulation,https://www.neuravi.com.au,,no,no,,
neuroadaptive-technologies,Neuroadaptive Technologies,Brain-Computer Interfaces,https://neuroadaptive.com,,no,no,,
neurobiological-technologies,Neurobiological Technologies,Neuropharmaceuticals,https://www.nbtx.com,,no,no,,
neurogene,Neurogene,Neuropharmaceuticals,https://www.neurogene.com,,no,no,,
neuroelectrics,Neuroelectrics,Research Tools,https://neuroelectrics.com,,no,no,,
neuroene-therapeutics,NeuroEne Therapeutics,Neuropharmaceuticals,https://www.neuroene.com,,no,no,,
neurolutions,Neurolutions,Brain-Computer Interfaces,https://neurolutions.com,info@kandu.com,yes,no,,
neuromed-neuromodulation,Neuromed,Brain-Computer Interfaces,https://neuromed.us,,no,no,,
neurona-therapeutics,Neurona Therapeutics,Neuropharmaceuticals,https://www.neuronatx.com,,no,no,,
neurophos-therapeutics,NeuroPhos Therapeutics,Neuropharmaceuticals,https://www.neurophostherapeutics.com,,no,no,,
neuronasal,NeuroNasal,Psychedelics,https://neuronasal.com,michael@neuronasal.com,yes,no,,
neuronetics,Neuronetics,Brain-Computer Interfaces,https://neuronetics.com,,no,no,,
neuropace,NeuroPace,Neuromodulation,https://neuropace.com,default@osm.org,yes,no,,
neuroptimal,NeurOptimal,Neurofeedback,https://neuroptimal.com,,no,no,,
cala-health,Cala Health,Neuromodulation,https://www.calahealth.com,customercare@calahealth.com,yes,no,,
neuros-medical,Neuros Medical,Neuromodulation,https://neurosmedical.com,info@neurosmedical.com,yes,no,,
neurosity,Neurosity,Brain-Computer Interfaces,https://neurosity.co,,no,no,,
neurotrack,Neurotrack,Cognitive Health,https://neurotrack.com,help@neurotrack.com,yes,no,,
nevro-corp,Nevro Corp,Neuromodulation,https://www.nevro.com,marketing@nevro.com,yes,no,,
nevro,Nevro,Neuromodulation,https://www.nevro.com,marketing@nevro.com,yes,no,,
nexstim,Nexstim,Neuromodulation,https://www.nexstim.com,,no,no,,
nihon-kohden,Nihon Kohden,Neurodiagnostics,https://www.nihonkohden.com,,no,no,,
noetic-fund,Noetic Fund,Psychedelics,https://noeticfund.org,,no,no,,
novamind,Novamind,Mental Health Tech,https://novamind.ca,,no,no,,
numinous-ways,Numinous Ways,Psychedelics,https://iamnuminous.com,,no,no,,
nue-life-health,Nue Life Health,Mental Health Tech,https://nuelife.com,,no,no,,
numinus-wellness,Numinus Wellness,Psychedelics,https://www.numinus.com,,no,no,,
nurokor,Nurokor,Cognitive Health,https://nurokor.com,,no,no,,
nuvectra,Nuvectra,Brain-Computer Interfaces,https://nuvectra.com,,no,no,,
ono-neuromed,Ono Neuromed,Brain-Computer Interfaces,https://ononeuromed.com,,no,no,,
open-ephys,Open Ephys,Research Tools,https://open-ephys.org,info@open-ephys.org,yes,no,,
opencbci,OpenBCI,Research Tools,https://www.openbci.com,,no,no,,
osmind,Osmind,Mental Health Tech,https://www.osmind.org,support@osmind.org,yes,no,,
paradromics,Paradromics,Brain-Computer Interfaces,https://www.paradromics.com,spend@paradromics.com,yes,no,,
perception-neuroscience,Perception Neuroscience,Mental Health Tech,https://perceptionneuroscience.com,,no,no,,
supernus-pharmaceuticals-cns,Supernus Pharmaceuticals,Neuropharmaceuticals,https://www.supernus.com,info@supernus.com,yes,no,,
persyst,Persyst,Neurodiagnostics,https://www.persyst.com,support@persyst.com,yes,no,,
philips-neuro,Philips Neuro,Neurodiagnostics,https://www.philips.com/healthcare/solutions/neurology,,no,no,,
photopharmics,Photopharmics,Neuromodulation,https://www.photopharmics.com,,no,no,,
polaris-insight-center,Polaris Insight Center,Psychedelics,https://polarisinsight.com,info@polarisinsight.com,yes,no,,
posit-science,Posit Science,Cognitive Health,https://positscience.com,,no,no,,
precision-neuroscience,Precision Neuroscience,Brain-Computer Interfaces,https://www.precisionneuroscience.com,,no,no,,
psilera,Psilera,Psychedelics,https://psilera.com,info@psilera.com,yes,no,,
psilocybin-alpha,Psilocybin Alpha,Psychedelics,https://psilocybinalpha.com,hello@psychedelicalpha.com,yes,no,,
psyber-inc,Psyber Inc,Mental Health Tech,https://psyber.com,info@psyberware.com,yes,no,,
psych-inc,Psych Inc,Cognitive Health,https://psych.inc,,no,no,,
psych360,Psych360,Mental Health Tech,https://psych360.com,,no,no,,
quartet-health,Quartet Health,Mental Health Tech,https://quartethealth.com,,no,no,,
reata-pharmaceuticals,Reata Pharmaceuticals,Neuropharmaceuticals,https://www.reatapharma.com,,no,no,,
reunion-neuroscience,Reunion Neuroscience,Mental Health Tech,https://reunionneuroscience.com,,no,no,,
revive-therapeutics,Revive Therapeutics,Psychedelics,https://revivetherapeutics.com,info@revivetherapeutics.com,yes,no,,
ripple-neuro,Ripple Neuro,Brain-Computer Interfaces,https://rippleneuro.com,support@rppl.com,yes,no,,
rune-labs,Rune Labs,Brain-Computer Interfaces,https://runelabs.io,security@runelabs.io,yes,no,,
sage-therapeutics,Sage Therapeutics,Neuropharmaceuticals,https://sagerx.com,info@supernus.com,yes,no,,
saluda-medical,Saluda Medical,Neuromodulation,https://www.saludamedical.com,,no,no,,
sc-neuro,SC Neuro,Neuromodulation,https://www.scneuro.ca,,no,no,,
seelos-biosciences,Seelos Biosciences,Mental Health Tech,https://seelosbio.com,,no,no,,
setpoint-medical,SetPoint Medical,Neuromodulation,https://www.setpointmedical.com,,no,no,,
neuros-medical-hf10,Neuros Medical,Neuromodulation,https://www.neurosmedical.com,info@neurosmedical.com,yes,no,,
silo-wellness,Silo Wellness,Psychedelics,https://silowellness.com,retreats@silowellness.com,yes,no,,
silvercloud-health,SilverCloud Health,Mental Health Tech,https://silvercloudhealth.com,support@silvercloudhealth.com,yes,no,,
small-pharma,Small Pharma,Mental Health Tech,https://smallpharma.com,,no,no,,
soterix-medical,Soterix Medical,Research Tools,https://soterixmedical.com,contact@soterixmedical.com,yes,no,,
spark-neuro,Spark Neuro,Neuromodulation,https://www.sparkneuro.com,info@sparkneuro.com,yes,no,,
spinal-modulation,Spinal Modulation,Neuromodulation,https://www.spinalmods.com,,no,no,,
spring-health,Spring Health,Mental Health Tech,https://www.springhealth.com,press@springhealth.com,yes,no,,
stimwave,Stimwave Technologies,Neuromodulation,https://www.stimwave.com,,no,no,,
supernus-pharmaceuticals,Supernus Pharmaceuticals,Neuropharmaceuticals,https://www.supernus.com,info@supernus.com,yes,no,,
synapse-biomedical,Synapse Biomedical,Neuromodulation,https://www.synapsebiomedical.com,mdiop@synapsebiomedical.com,yes,no,,
synchron,Synchron,Brain-Computer Interfaces,https://synchron.com,info@synchron.com,yes,no,,
synthesis-institute,Synthesis Institute,Psychedelics,https://synthesisretreat.com,,no,no,,
tactogen,Tactogen,Psychedelics,https://tactogen.com,,no,no,,
therapsil,TheraPsil,Psychedelics,https://therapsil.ca,,no,no,,
thought-technology,Thought Technology,Neurofeedback,https://thoughttechnology.com,alex@thoughttechnology.com,yes,no,,
tms-health-solutions,TMS Health Solutions,Neuromodulation,https://www.tmshealth.com,,no,no,,
translatum-medicus,Translatum Medicus,Neuropharmaceuticals,https://www.translatummedicus.com,,no,no,,
tryp-therapeutics,Tryp Therapeutics,Mental Health Tech,https://tryptherapeutics.com,hello@tryptherapeutics.com,yes,no,,
two-chairs,Two Chairs,Mental Health Tech,https://twochairs.com,support@twochairs.com,yes,no,,
usona-institute,Usona Institute,Mental Health Tech,https://usonainstitute.org,phil@cricketdesignworks.com,yes,no,,
neurexo-biosciences,Neurexo Biosciences,Neuropharmaceuticals,https://www.neurexo.com,,no,no,,
wavepaths,Wavepaths,Psychedelics,https://wavepaths.com,,no,no,,
wesana-health,Wesana Health,Mental Health Tech,https://wesanahealth.com,,no,no,,
woebot-health,Woebot Health,Mental Health Tech,https://woebothealth.com,,no,no,,
wysa,Wysa,Mental Health Tech,https://wysa.io,press@wysa.io,yes,no,,
zai-lab-neuroscience,Zai Lab Neuroscience,Neuropharmaceuticals,https://www.zailaboratory.com,zaiir@zailaboratory.com,yes,no,,
